row_id,id,language,proverb_native,proverb_en,prescriptive_or_descriptive
1,gutenberg_06651,nl,"Ligt gekomen, ligt gegaan","Lightly come, lightly gone.",1
2,gutenberg_03756,de,"Wer dem Haufen folgt, hat viele Gesellen",He who follows the crowd has many companions.,1
3,gutenberg_05129,es,"Quien poco sabe, presto lo reza",He who knows little soon tells it.,1
4,gutenberg_06520,nl,Het is zoo veel als een boon in een brouw ketel,That’s as much as a bean in a brewing copper.,1
5,zh_maps_00313,zh,无鱼，虾也好,"No fish, shrimp is also good",1
6,gutenberg_06535,nl,Hij brandt de kaars aan beide einden,He burns the candle at both ends.,1
7,gutenberg_03157,de,"Jacobs Stimme, Esaus Hände","Jacob’s voice, Esau’s hands.",1
8,gutenberg_02881,de,Eine Biene ist so gut als eine Handvoll Fliegen,One bee is as good as a handful of flies.,1
9,gutenberg_05625,pt,Fazenda herdada he menos estimada,An estate inherited is the less valued.,1
10,gutenberg_07757,da,Naar Saaret er lægt er Svien glemt,When the wound is healed the pain is forgotten.,1
11,gutenberg_04180,es,"A quien Dios quiere bien, la perra le pare lechones","Whom God loves, his bitch litters pigs.",1
12,gutenberg_06793,nl,Uit den overvloed des harten spreekt de mond,Out of the abundance of the heart the mouth speaketh.,1
13,gutenberg_01781,it,Con poco cervello si governa il mondo,The world is governed with little brains.,1
14,en_maps_00267,en,you pays your money and you takes your choice,you pays your money and you takes your choice,1
15,de_maps_00089,de,"pack schlägt sich, pack verträgt sich","pack fights, pack gets along",1
16,ru_maps_00107,ru,"Готовь сани летом, а телегу зимой",Prepare a sleigh in the summer and a cart in the winter,0
17,gutenberg_03808,de,"Wer hat, der behalt’; Liebe wird alt, Unglück kommt bald","Who has, let him thereof take heed; love wanes, misfortune comes with speed.",1
18,gutenberg_03380,de,"Nichts kühner als der Müller Hemd, das jeden Morgen einen Dieb beim Kragen nimmt","Nothing bolder than the miller’s shirt, that every morning collars a thief.",1
19,gutenberg_07578,da,Kappen giör hverken Præst eller Degn,It is not the surplice that makes parson or clerk.,1
20,gutenberg_06569,nl,"Hij telt zijne kiekens, eer de eijers gelegd zijn",He counts his chickens before they are hatched.,1
21,gutenberg_04828,es,"No falte cibo al palomar, que las palomas ellas se vernán","Let there be no lack of food in the pigeon-house, and the pigeons will come to it.",1
22,gutenberg_04844,es,"No hay placer que no enfade, y mas si cuesta de valde","There is no pleasure but palls, and the more so if it costs nothing",1
23,gutenberg_03061,de,Goldener Hammer bricht eisernes Thor,A golden hammer breaks an iron gate.,1
24,gutenberg_03297,de,Man soll die Beute nicht vor dem Siege theilen,Don’t divide the spoil before the victory is won.,0
25,gutenberg_02590,it,Una bugia ne tira dieci,One lie draws ten after it.,1
26,bn_maps_00093,bn,অন্ধকারে সব বিড়ালকে ধূসর দেখায়,All cats look gray in the dark,1
27,de_maps_00247,de,der beste arzt ist jederzeit des eigenen menschen mässigkeit,the best doctor at all times is one's own temperance,1
28,gutenberg_00034,fr,A homme hardi fortune tend la main,To a bold man fortune holds out her hand.,1
29,gutenberg_06401,nl,Gelegenheid maakt genegenheid,Opportunity makes desire.,1
30,ru_maps_00303,ru,Назвaлся груздем - полезaй в кузов,Called yourself a milk mushroom - get into the back,1
31,de_maps_00074,de,"man muss die suppe auslöffeln, die man sich eingebrockt hat",you have to eat out the soup you made for yourself,0
32,gutenberg_05927,pt,"Queres que te siga o caõ, da-lhe paõ","If you would have the dog follow you, give him bread.",0
33,gutenberg_00901,fr,Petite chose aide souvent,A little thing often helps.,1
34,gutenberg_00766,fr,Mieux vaut assez que trop,Enough is better than too much.,1
35,gutenberg_07647,da,Man faaer at bage af det Meel man har,You must contrive to bake with the flour you have.,0
36,gutenberg_00734,fr,"L’homme n’a ni sens ni raison, qui jeune femme laisse au tison",The man has neither sense nor reason who leaves a young wife at home.,1
37,gutenberg_07304,da,"Fader og Moder ere gode, end er Gud bedre","Father and mother are kind, but God is kinder.",1
38,gutenberg_00569,fr,La gibecière de l’avocat est une bouche d’enfer,The lawyer’s pouch is a mouth of hell.,1
39,gutenberg_01255,fr,Un peu d’aide fait grand bien,A little help does a great deal.,1
40,ru_maps_00227,ru,"Кому на мeсте не сидится, тот добрa не наживёт",Anyone who can’t sit still won’t get any good,1
41,gutenberg_03629,de,"Während das Gras wächst, ist der Hengst todt","While the grass grows, the steed starves.",1
42,de_maps_00050,de,bellende hunde beißen nicht!,barking dogs don't bite!,1
43,zh_maps_00056,zh,少壮不努力，老大徒伤悲,"If the young don't work hard, they will be sad when they are older",1
44,gutenberg_00040,fr,A la chandelle la chèvre semble demoiselle,By candle-light a goat looks like a lady.,1
45,id_maps_00169,id,"Tak ada umpat yang membunuh, tak ada puji yang mengenjang","No curse kills, no praise kills",1
46,gutenberg_03402,de,"”O was müßen wir der Kirche Gottes halber leiden!” rief der Abt, als ihm das gebratene Huhn die Finger versengt","“O what we must suffer for the sake of God’s church!” said the abbot, when the roast fowl burned his fingers.",1
47,gutenberg_05453,pt,Bem parece o ladraõ na forca,The thief becomes the gallows well.,1
48,gutenberg_03943,de,"Wo der Zaun am niedrigsten ist, steigt man über zu aller Frist","Where the hedge is lowest, men leap over.",1
49,gutenberg_01414,it,Amor regge il suo regno senza spada,Love rules his kingdom without a sword.,1
50,gutenberg_06110,nl,"De druiven zijn zuur, sprak de vos, maar hij kon er niet bij","The grapes are sour, said the fox, when he could not get at them.",1
